"Ticket","Tiket"
"Priority","Prioritas"
"Status","Status"
"Open","Baru"
"In Progress","Sedang Dikerjakan"
"Pending User","Menunggu User"
"Resolved","Selesai"
"Closed","Ditutup"
"Assigned To","Ditugaskan Ke"
"Requested By","Dilaporkan Oleh"
"Category","Kategori"
"Problem","Masalah"
"Root Cause","Akar Masalah"
"Known Error","Kesalahan yang Diketahui"
"Change Request","Permintaan Perubahan"
"Asset","Aset"
"Critical","Kritis"
"High","Tinggi"
"Medium","Sedang"
"Low","Rendah"
"Subject","Subjek"
"Description","Deskripsi"
"Team","Tim"
"SLA Response By","SLA Response Sampai"
"SLA Resolution By","SLA Resolution Sampai"
"Resolved On","Diselesaikan Pada"
"Closed On","Ditutup Pada"
"Related Problem","Masalah Terkait"
"Attachments","Lampiran"
"Ticket Type","Tipe Tiket"
"Incident","Insiden"
"Service Request","Permintaan Layanan"
"Title","Judul"
"Symptom","Gejala"
"Workaround","Solusi Sementara"
"Change Type","Tipe Perubahan"
"Risk Level","Tingkat Risiko"
"Implementation Plan","Rencana Implementasi"
"Rollback Plan","Rencana Rollback"
"Asset Name","Nama Aset"
"Asset Type","Tipe Aset"
"Location","Lokasi"
"Purchase Date","Tanggal Pembelian"
"Warranty Until","Garansi Sampai"
"Service Name","Nama Layanan"
"Default SLA","SLA Default"
"Business Hours","Jam Kerja"
"Response Time (minutes)","Waktu Response (menit)"
"Resolution Time (minutes)","Waktu Resolution (menit)"
"Telegram Chat ID","Telegram Chat ID"
"Telegram Username","Telegram Username"
"Preferred Language","Bahasa Pilihan"
"Department","Departemen"
"Phone Internal","Telepon Internal"
"Standard","Standar"
"Normal","Normal"
"Emergency","Darurat"
"Laptop","Laptop"
"PC","PC"
"Server","Server"
"Network Device","Perangkat Jaringan"
"Printer","Printer"
"Other","Lainnya"
"Hardware","Hardware"
"Software","Software"
"Network","Jaringan"
"Access","Akses"
"Email","Email"
"Draft","Draf"
"Submitted","Diajukan"
"Under Review","Direview"
"Approved","Disetujui"
"Rejected","Ditolak"
"Implementation","Implementasi"
"Open","Terbuka"
"Investigation","Investigasi"
"Active","Aktif"
"Broken","Rusak"
"Under Repair","Diperbaiki"
"Deleted","Dihapus"
"Monday","Senin"
"Tuesday","Selasa"
"Wednesday","Rabu"
"Thursday","Kamis"
"Friday","Jumat"
"Saturday","Sabtu"
"Sunday","Minggu"
"Start Time","Waktu Mulai"
"End Time","Waktu Selesai"
"Is Working Day","Hari Kerja"
"Parent Category","Kategori Induk"
"Members","Anggota"
"User","Pengguna"
"NextHD Ticket","Tiket NextHD"
"NextHD Problem","Masalah NextHD"
"NextHD Change Request","Permintaan Perubahan NextHD"
"NextHD Settings","Pengaturan NextHD"
"NextHD Team","Tim NextHD"
"NextHD Asset","Aset NextHD"
"NextHD Category","Kategori NextHD"
"NextHD SLA Policy","Kebijakan SLA NextHD"
"NextHD Business Hours","Jam Kerja NextHD"
"NextHD User Profile","Profil Pengguna NextHD"
"NextHD Known Error","Kesalahan Dikenal NextHD"
"NextHD Service Catalog","Katalog Layanan NextHD"
"🎫 <b>Tiket Baru</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}\nDilaporkan oleh: {3}\nKategori: {4}","🎫 <b>Tiket Baru</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}\nDilaporkan oleh: {3}\nKategori: {4}"
"🎫 <b>Tiket Baru Ditugaskan ke Anda</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}","🎫 <b>Tiket Baru Ditugaskan ke Anda</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}"
"✅ <b>Tiket Ditugaskan</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}\nAnda telah ditugaskan untuk menangani tiket ini.","✅ <b>Tiket Ditugaskan</b>\nNo: {0}\nSubjek: {1}\nPrioritas: {2}\nAnda telah ditugaskan untuk menangani tiket ini."
"💬 <b>Balasan Baru</b>\nTiket: {0}\nSubjek: {1}\nAda balasan baru pada tiket Anda.","💬 <b>Balasan Baru</b>\nTiket: {0}\nSubjek: {1}\nAda balasan baru pada tiket Anda."
"💬 <b>Balasan Baru</b>\nTiket: {0}\nSubjek: {1}\nAda balasan baru pada tiket yang Anda tugaskan.","💬 <b>Balasan Baru</b>\nTiket: {0}\nSubjek: {1}\nAda balasan baru pada tiket yang Anda tugaskan."
"✅ <b>Tiket Diselesaikan</b>\nTiket: {0}\nSubjek: {1}\nTiket Anda telah diselesaikan. Mohon konfirmasi jika sudah sesuai.","✅ <b>Tiket Diselesaikan</b>\nTiket: {0}\nSubjek: {1}\nTiket Anda telah diselesaikan. Mohon konfirmasi jika sudah sesuai."
"⚠️ <b>Peringatan SLA</b>\nTiket: {0}\nSubjek: {1}\nPrioritas: {2}\nSLA akan terlampaui dalam 30 menit. Segera tangani!","⚠️ <b>Peringatan SLA</b>\nTiket: {0}\nSubjek: {1}\nPrioritas: {2}\nSLA akan terlampaui dalam 30 menit. Segera tangani!"
"⚠️ <b>Peringatan SLA Tim</b>\nTiket: {0}\nSubjek: {1}\nSLA akan terlampaui dalam 30 menit.","⚠️ <b>Peringatan SLA Tim</b>\nTiket: {0}\nSubjek: {1}\nSLA akan terlampaui dalam 30 menit."
"📋 <b>Change Request Menunggu Persetujuan</b>\nNo: {0}\nJudul: {1}\nTipe: {2}\nRisiko: {3}\nMohon review dan setujui/tolak.","📋 <b>Change Request Menunggu Persetujuan</b>\nNo: {0}\nJudul: {1}\nTipe: {2}\nRisiko: {3}\nMohon review dan setujui/tolak."
"Tiket Saya","Tiket Saya"
"Affected Asset","Aset Terdampak"
"NextHD Ticket Worklog","Riwayat Progress Tiket"
"Waktu","Waktu"
"Teknisi","Teknisi"
"Aktivitas","Aktivitas"
"Hasil","Hasil"
"Durasi Menit","Durasi (menit)"
